Date,Qt-1,Pt,Qt
1995-02-24,4.24,0.5680000000000001,4.52
1995-02-25,4.52,0.0,4.24
1995-02-26,4.24,0.0,4.24
1995-02-27,4.24,0.0,4.14
1995-02-28,4.14,0.0,3.86
1995-03-01,3.86,1.135,3.86
1995-03-02,3.86,3.0600000000000005,3.96
1995-03-03,3.96,0.0,3.86
1995-03-04,3.86,0.105,3.86
1995-03-05,3.86,0.0,3.86
1995-03-06,3.86,0.0,3.86
1995-03-07,3.86,0.0,3.76
1995-03-08,3.76,0.0,3.67
1995-03-09,3.67,0.0,3.76
1995-03-10,3.76,0.274,3.86
1995-03-11,3.86,0.0,3.86
1995-03-12,3.86,0.0,3.76
1995-03-13,3.76,3.576,4.29
1995-03-14,4.29,12.080000000000002,5.24
1995-03-15,5.24,0.042,4.72
1995-03-16,4.72,1.338,5.45
1995-03-17,5.45,5.445,7.58
1995-03-18,7.58,4.093,7.72
1995-03-19,7.72,0.62,7.2
1995-03-20,7.2,4.75,6.72
1995-03-21,6.72,0.0,6.14
1995-03-22,6.14,0.0,5.24
1995-03-23,5.24,0.0,4.72
1995-03-24,4.72,0.0,4.24
1995-03-25,4.24,2.792,4.4
1995-03-26,4.4,0.995,4.4
1995-03-27,4.4,0.0,3.67
1995-03-28,3.67,0.0,3.38
1995-03-29,3.38,0.0,3.2
1995-03-30,3.2,0.0,3.2
1995-03-31,3.2,0.0,3.1
1995-04-01,3.1,0.0,3.1
1995-04-02,3.1,0.0,3.2
1995-04-03,3.2,0.0,3.29
1995-04-04,3.29,5.905,3.76
1995-04-05,3.76,2.634,3.48
1995-04-06,3.48,0.737,3.2
1995-04-07,3.2,1.45,3.03
1995-04-08,3.03,0.0,2.96
1995-04-09,2.96,0.0,2.96
1995-04-10,2.96,0.19,2.96
1995-04-11,2.96,0.0,3.1
1995-04-12,3.1,0.0,3.22
1995-04-13,3.22,0.0,3.29
1995-04-14,3.29,0.0,3.29
1995-04-15,3.29,2.543,3.38
1995-04-16,3.38,0.294,3.38
1995-04-17,3.38,0.076,3.29
1995-04-18,3.29,0.0,3.29
1995-04-19,3.29,2.34,3.38
1995-04-20,3.38,0.105,3.38
1995-04-21,3.38,0.105,3.2
1995-04-22,3.2,0.152,3.03
1995-04-23,3.03,0.8659999999999999,2.96
1995-04-24,2.96,30.745,10.1
1995-04-25,10.1,1.518,7.79
1995-04-26,7.79,0.152,5.22
1995-04-27,5.22,0.945,4.62
1995-04-28,4.62,0.95,4.33
1995-04-29,4.33,0.0,3.86
1995-04-30,3.86,1.39,3.96
1995-05-01,3.96,0.0,3.58
1995-05-02,3.58,2.592,3.29
1995-05-03,3.29,0.7150000000000001,3.29
1995-05-04,3.29,1.025,3.29
1995-05-05,3.29,6.404,3.35
1995-05-06,3.35,3.652,3.2
1995-05-07,3.2,2.17,3.23
1995-05-08,3.23,0.0,3.06
1995-05-09,3.06,0.6619999999999999,2.82
1995-05-10,2.82,0.0,2.82
1995-05-11,2.82,0.0,2.82
1995-05-12,2.82,0.0,3.0
1995-05-13,3.0,0.0,3.17
1995-05-14,3.17,0.0,3.17
1995-05-15,3.17,0.0,3.17
1995-05-16,3.17,0.0,3.02
1995-05-17,3.02,0.0,3.02
1995-05-18,3.02,0.0,3.02
1995-05-19,3.02,0.0,3.02
1995-05-20,3.02,2.681,2.88
1995-05-21,2.88,1.481,2.88
1995-05-22,2.88,0.0,2.88
1995-05-23,2.88,0.0,2.67
1995-05-24,2.67,0.0,2.6
1995-05-25,2.6,0.0,2.6
1995-05-26,2.6,0.0,2.6
1995-05-27,2.6,3.567,2.56
1995-05-28,2.56,0.0,2.74
1995-05-29,2.74,0.0,2.67
1995-05-30,2.67,0.0,2.49
1995-05-31,2.49,0.0,2.49
1995-06-01,2.49,0.0,2.49
1995-06-02,2.49,0.0,2.49
1995-06-03,2.49,10.595,2.57
1995-06-04,2.57,0.7050000000000001,2.54
1995-06-05,2.54,0.6,2.6
1995-06-06,2.6,0.232,2.54
1995-06-07,2.54,12.155,3.08
1995-06-08,3.08,1.503,2.88
1995-06-09,2.88,7.305,2.88
1995-06-10,2.88,0.663,2.74
1995-06-11,2.74,0.31,2.74
1995-06-12,2.74,0.19,2.67
1995-06-13,2.67,0.0,2.44
1995-06-14,2.44,0.0,2.44
1995-06-15,2.44,0.0,2.38
1995-06-16,2.38,0.0,2.44
1995-06-17,2.44,0.0,2.44
1995-06-18,2.44,0.0,2.38
1995-06-19,2.38,0.0,2.38
1995-06-20,2.38,0.0,2.32
1995-06-21,2.32,0.0,2.32
1995-06-22,2.32,23.105,3.7
1995-06-23,3.7,0.205,2.67
1995-06-24,2.67,0.0,2.44
1995-06-25,2.44,0.0,2.27
1995-06-26,2.27,0.0,2.22
1995-06-27,2.22,0.0,2.16
1995-06-28,2.16,0.0,2.16
1995-06-29,2.16,0.0,2.16
1995-06-30,2.16,0.0,2.1
1995-07-01,2.1,0.615,2.1
1995-07-02,2.1,0.042,2.1
1995-07-03,2.1,0.0,2.1
1995-07-04,2.1,0.0,2.16
1995-07-05,2.16,5.797999999999999,2.22
1995-07-06,2.22,2.311,2.27
1995-07-07,2.27,0.0,2.22
1995-07-08,2.22,0.042,2.22
1995-07-09,2.22,0.0,2.16
1995-07-10,2.16,0.0,2.16
1995-07-11,2.16,0.0,2.16
1995-07-12,2.16,0.0,2.16
1995-07-13,2.16,0.0,2.16
1995-07-14,2.16,0.0,2.05
1995-07-15,2.05,0.0,2.0
1995-07-16,2.0,0.0,2.0
1995-07-17,2.0,0.0,1.94
1995-07-18,1.94,0.0,1.94
1995-07-19,1.94,0.0,1.94
1995-07-20,1.94,0.0,1.94
1995-07-21,1.94,0.0,1.94
1995-07-22,1.94,1.084,1.94
1995-07-23,1.94,13.86,2.43
1995-07-24,2.43,0.168,2.0
1995-07-25,2.0,0.0,2.0
1995-07-26,2.0,0.0,2.05
1995-07-27,2.05,0.0,2.0
1995-07-28,2.0,0.0,2.0
1995-07-29,2.0,0.152,2.0
1995-07-30,2.0,0.0,1.94
1995-07-31,1.94,0.0,1.94
1995-08-01,1.94,0.0,2.05
1995-08-02,2.05,0.0,2.0
1995-08-03,2.0,0.0,1.94
1995-08-04,1.94,0.0,2.0
1995-08-05,2.0,0.0,1.94
1995-08-06,1.94,0.0,1.94
1995-08-07,1.94,0.0,1.83
1995-08-08,1.83,0.925,1.94
1995-08-09,1.94,5.365,2.05
1995-08-10,2.05,0.0,1.88
1995-08-11,1.88,0.0,1.83
1995-08-12,1.83,0.0,1.83
1995-08-13,1.83,0.6950000000000001,1.83
1995-08-14,1.83,42.38,10.1
1995-08-15,10.1,6.385,4.72
1995-08-16,4.72,2.495,2.64
1995-08-17,2.64,0.3309999999999999,2.43
1995-08-18,2.43,0.202,2.1
1995-08-19,2.1,4.2410000000000005,2.16
1995-08-20,2.16,0.076,2.05
1995-08-21,2.05,0.0,2.05
1995-08-22,2.05,0.0,2.05
1995-08-23,2.05,1.155,2.05
1995-08-24,2.05,8.18,2.31
1995-08-25,2.31,1.037,2.32
1995-08-26,2.32,0.0,2.16
1995-08-27,2.16,0.0,1.94
1995-08-28,1.94,0.0,1.94
1995-08-29,1.94,0.152,1.88
1995-08-30,1.88,0.38,1.88
1995-08-31,1.88,0.0,1.83
1995-09-01,1.83,0.0,1.77
1995-09-02,1.77,0.0,1.77
1995-09-03,1.77,0.0,1.83
1995-09-04,1.83,0.0,1.83
1995-09-05,1.83,0.0,1.83
1995-09-06,1.83,0.0,1.83
1995-09-07,1.83,0.0,1.72
1995-09-08,1.72,0.0,1.72
1995-09-09,1.72,18.7,2.11
1995-09-10,2.11,3.03,2.0
1995-09-11,2.0,0.0,1.77
1995-09-12,1.77,0.0,1.72
1995-09-13,1.72,0.0,1.72
1995-09-14,1.72,1.01,1.72
1995-09-15,1.72,0.783,1.72
1995-09-16,1.72,0.19,1.77
1995-09-17,1.77,0.0,1.83
1995-09-18,1.83,0.0,1.72
1995-09-19,1.72,5.879999999999999,1.77
1995-09-20,1.77,38.655,7.9
1995-09-21,7.9,11.975,6.28
1995-09-22,6.28,0.247,3.8
1995-09-23,3.8,0.063,2.66
1995-09-24,2.66,0.41,2.32
1995-09-25,2.32,2.24,2.12
1995-09-26,2.12,11.465,4.56
1995-09-27,4.56,1.575,3.5
1995-09-28,3.5,0.585,2.88
1995-09-29,2.88,6.374,2.94
1995-09-30,2.94,2.52,4.22
1995-10-01,4.22,0.0,3.11
1995-10-02,3.11,0.0,2.51
1995-10-03,2.51,0.41,2.25
1995-10-04,2.25,0.0,2.12
1995-10-05,2.12,0.0,2.19
1995-10-06,2.19,0.0,2.12
1995-10-07,2.12,0.0,2.06
1995-10-08,2.06,0.0,2.06
1995-10-09,2.06,1.0950000000000002,2.25
1995-10-10,2.25,0.336,2.25
1995-10-11,2.25,2.125,2.42
1995-10-12,2.42,15.595,9.48
1995-10-13,9.48,9.017,5.93
1995-10-14,5.93,1.025,2.98
1995-10-15,2.98,0.0,2.25
1995-10-16,2.25,11.08,6.75
1995-10-17,6.75,24.355,28.0
1995-10-18,28.0,8.507,11.5
1995-10-19,11.5,0.615,5.96
1995-10-20,5.96,0.0,4.3
1995-10-21,4.3,0.0,3.42
1995-10-22,3.42,0.0,4.18
1995-10-23,4.18,4.787,3.37
1995-10-24,3.37,33.415,23.8
1995-10-25,23.8,3.447,16.1
1995-10-26,16.1,0.41,7.92
1995-10-27,7.92,0.0,5.26
1995-10-28,5.26,0.0,4.14
1995-10-29,4.14,0.0,3.5
1995-10-30,3.5,0.0,3.02
1995-10-31,3.02,1.41,2.65
1995-11-01,2.65,0.076,2.51
1995-11-02,2.51,0.0,2.32
1995-11-03,2.32,0.0,2.12
1995-11-04,2.12,0.0,2.06
1995-11-05,2.06,0.0,1.93
1995-11-06,1.93,0.0,1.8
1995-11-07,1.8,0.0,1.8
1995-11-08,1.8,0.0,1.8
1995-11-09,1.8,0.0,1.8
1995-11-10,1.8,0.0,1.8
1995-11-11,1.8,0.588,1.93
1995-11-12,1.93,0.0,1.93
1995-11-13,1.93,0.0,2.0
1995-11-14,2.0,0.0,1.93
1995-11-15,1.93,0.0,2.06
1995-11-16,2.06,0.0,2.06
1995-11-17,2.06,0.0,2.06
1995-11-18,2.06,0.0,2.06
1995-11-19,2.06,0.0,2.0
1995-11-20,2.0,0.0,1.73
1995-11-21,1.73,0.0,1.86
1995-11-22,1.86,0.0,1.93
1995-11-23,1.93,0.0,1.93
1995-11-24,1.93,4.688000000000001,1.99
1995-11-25,1.99,0.31,1.93
1995-11-26,1.93,0.0,1.93
1995-11-27,1.93,0.0,1.93
1995-11-28,1.93,0.0,1.93
1995-11-29,1.93,0.0,1.86
1995-11-30,1.86,0.0,1.86
1995-12-01,1.86,0.0,1.8
1995-12-02,1.8,0.205,1.73
1995-12-03,1.73,0.73,1.8
1995-12-04,1.8,0.41,1.8
1995-12-05,1.8,1.2,1.73
1995-12-06,1.73,0.0,1.73
1995-12-07,1.73,0.876,1.73
1995-12-08,1.73,9.855,1.99
1995-12-09,1.99,8.272,2.19
1995-12-10,2.19,4.095,2.25
1995-12-11,2.25,0.247,1.99
1995-12-12,1.99,5.34,2.06
1995-12-13,2.06,11.263,3.45
1995-12-14,3.45,0.247,2.66
1995-12-15,2.66,0.615,2.35
1995-12-16,2.35,0.0,2.19
1995-12-17,2.19,6.15,2.38
1995-12-18,2.38,0.8,2.32
1995-12-19,2.32,0.0,2.25
1995-12-20,2.25,0.0,2.25
1995-12-21,2.25,0.0,2.29
1995-12-22,2.29,0.0,2.8
1995-12-23,2.8,3.5,2.51
1995-12-24,2.51,0.0,2.58
1995-12-25,2.58,0.0,2.51
1995-12-26,2.51,0.0,2.81
1995-12-27,2.81,0.0,2.57
1995-12-28,2.57,0.0,2.95
1995-12-29,2.95,0.0,2.59
1995-12-30,2.59,0.0,2.35
1995-12-31,2.35,0.0,2.38
1996-01-01,2.38,0.378,2.32
1996-01-02,2.32,0.441,2.19
1996-01-03,2.19,0.205,2.25
1996-01-04,2.25,0.0,2.32
1996-01-05,2.32,0.0,2.32
1996-01-06,2.32,1.368,2.19
1996-01-07,2.19,0.788,2.85
1996-01-08,2.85,19.59,2.43
1996-01-09,2.43,10.275,3.5
1996-01-10,3.5,20.92,3.11
1996-01-11,3.11,2.0250000000000004,3.11
1996-01-12,3.11,20.31,2.95
1996-01-13,2.95,2.46,2.87
1996-01-14,2.87,0.0,2.87
1996-01-15,2.87,0.0,2.87
1996-01-16,2.87,0.0,2.95
1996-01-17,2.95,0.0,2.87
1996-01-18,2.87,0.41,2.87
1996-01-19,2.87,0.578,2.87
1996-01-20,2.87,0.205,2.95
1996-01-21,2.95,0.0,3.18
1996-01-22,3.18,0.0,3.3
1996-01-23,3.3,0.0,3.34
1996-01-24,3.34,0.0,3.11
1996-01-25,3.11,0.0,3.46
1996-01-26,3.46,0.0,3.66
1996-01-27,3.66,0.0,3.86
1996-01-28,3.86,0.0,3.9
1996-01-29,3.9,0.0,3.94
1996-01-30,3.94,0.042,4.9
1996-01-31,4.9,0.0,4.91
1996-02-01,4.91,0.38,8.43
1996-02-02,8.43,36.24,7.69
1996-02-03,7.69,2.05,4.95
1996-02-04,4.95,0.0,4.11
1996-02-05,4.11,0.0,3.98
1996-02-06,3.98,0.0,4.43
1996-02-07,4.43,0.0,8.73
1996-02-08,8.73,0.0,12.1
1996-02-09,12.1,0.5700000000000001,16.2
1996-02-10,16.2,3.648,12.66
1996-02-11,12.66,7.584999999999999,8.63
1996-02-12,8.63,1.05,6.21
1996-02-13,6.21,0.415,4.82
1996-02-14,4.82,0.042,4.3
1996-02-15,4.3,0.0,3.74
1996-02-16,3.74,0.0,3.5
1996-02-17,3.5,0.0,3.82
1996-02-18,3.82,0.0,4.02
1996-02-19,4.02,0.0,5.03
1996-02-20,5.03,0.252,5.7
1996-02-21,5.7,1.24,5.21
1996-02-22,5.21,0.205,4.3
1996-02-23,4.3,0.0,3.74
1996-02-24,3.74,0.0,3.42
1996-02-25,3.42,0.93,3.34
1996-02-26,3.34,2.165,3.26
1996-02-27,3.26,1.013,2.8
1996-02-28,2.8,5.336,2.8
1996-02-29,2.8,8.022,2.8
1996-03-01,2.8,0.042,2.8
1996-03-02,2.8,1.33,2.69
1996-03-03,2.69,0.0,7.48
1996-03-04,7.48,0.0,6.49
1996-03-05,6.49,0.0,5.11
1996-03-06,5.11,0.0,4.33
1996-03-07,4.33,4.286,4.1
1996-03-08,4.1,6.849,4.5
1996-03-09,4.5,1.515,4.3
1996-03-10,4.3,0.548,4.06
1996-03-11,4.06,0.0,3.82
1996-03-12,3.82,0.7590000000000001,3.82
1996-03-13,3.82,11.314,5.35
1996-03-14,5.35,8.036999999999999,8.77
1996-03-15,8.77,0.611,8.16
1996-03-16,8.16,0.042,6.02
1996-03-17,6.02,0.627,4.7
1996-03-18,4.7,3.365,4.22
1996-03-19,4.22,11.890999999999998,4.06
1996-03-20,4.06,0.7729999999999999,3.82
1996-03-21,3.82,0.16,3.9
1996-03-22,3.9,0.126,4.18
1996-03-23,4.18,8.237,6.15
1996-03-24,6.15,0.0,7.16
1996-03-25,7.16,5.206,11.1
1996-03-26,11.1,8.241,13.4
1996-03-27,13.4,3.2270000000000003,9.49
1996-03-28,9.49,1.32,7.16
1996-03-29,7.16,0.0,7.51
1996-03-30,7.51,0.0,12.9
1996-03-31,12.9,0.08,16.15
1996-04-01,16.15,3.476,12.8
1996-04-02,12.8,4.142,10.3
1996-04-03,10.3,25.536,13.6
1996-04-04,13.6,0.232,11.2
1996-04-05,11.2,0.0,8.91
1996-04-06,8.91,0.0,8.53
1996-04-07,8.53,2.762,11.2
1996-04-08,11.2,4.942,15.9
1996-04-09,15.9,4.517,13.5
1996-04-10,13.5,11.473,15.4
1996-04-11,15.4,1.285,11.8
1996-04-12,11.8,6.848,10.8
1996-04-13,10.8,15.295000000000002,20.1
1996-04-14,20.1,0.76,13.2
1996-04-15,13.2,5.063,10.5
1996-04-16,10.5,0.0,9.16
1996-04-17,9.16,0.0,8.8
1996-04-18,8.8,0.0,8.4
1996-04-19,8.4,3.844,7.75
1996-04-20,7.75,0.6479999999999999,7.1
1996-04-21,7.1,13.448,7.3
1996-04-22,7.3,1.748,7.05
1996-04-23,7.05,2.218,6.67
1996-04-24,6.67,10.288,9.19
1996-04-25,9.19,0.294,8.86
1996-04-26,8.86,0.0,7.45
1996-04-27,7.45,6.41,7.55
1996-04-28,7.55,0.0,7.85
1996-04-29,7.85,0.0,7.5
1996-04-30,7.5,0.315,7.25
1996-05-01,7.25,2.095,7.05
1996-05-02,7.05,0.105,6.81
1996-05-03,6.81,1.126,6.81
1996-05-04,6.81,2.598,6.44
1996-05-05,6.44,6.033,6.12
1996-05-06,6.12,0.8400000000000001,5.74
1996-05-07,5.74,0.0,5.28
1996-05-08,5.28,0.168,5.19
1996-05-09,5.19,0.0,4.94
1996-05-10,4.94,0.0,4.94
1996-05-11,4.94,6.464,5.78
1996-05-12,5.78,8.554,6.72
1996-05-13,6.72,0.0,5.65
1996-05-14,5.65,0.0,5.1
1996-05-15,5.1,0.0,4.94
1996-05-16,4.94,0.0,4.74
1996-05-17,4.74,0.0,4.54
1996-05-18,4.54,0.0,4.46
1996-05-19,4.46,2.765,4.46
1996-05-20,4.46,4.899,4.46
1996-05-21,4.46,0.79,4.38
1996-05-22,4.38,0.0,4.22
1996-05-23,4.22,0.0,4.14
1996-05-24,4.14,0.4569999999999999,4.38
1996-05-25,4.38,1.741,4.3
1996-05-26,4.3,2.821,4.14
1996-05-27,4.14,0.21,4.14
1996-05-28,4.14,4.5120000000000005,4.14
1996-05-29,4.14,0.8959999999999999,3.9
1996-05-30,3.9,0.41,3.74
1996-05-31,3.74,0.0,3.58
1996-06-01,3.58,0.0,3.74
1996-06-02,3.74,0.63,3.66
1996-06-03,3.66,3.349,3.9
1996-06-04,3.9,1.623,3.9
1996-06-05,3.9,3.018,4.13
1996-06-06,4.13,3.998,4.46
1996-06-07,4.46,0.0,3.98
1996-06-08,3.98,2.53,3.9
1996-06-09,3.9,1.85,3.82
1996-06-10,3.82,0.0,3.58
1996-06-11,3.58,9.606,4.33
1996-06-12,4.33,0.211,4.14
1996-06-13,4.14,0.152,3.66
1996-06-14,3.66,0.38,3.5
1996-06-15,3.5,0.0,3.26
1996-06-16,3.26,0.0,3.11
1996-06-17,3.11,0.0,3.02
1996-06-18,3.02,0.0,2.65
1996-06-19,2.65,7.018,3.32
1996-06-20,3.32,1.4,3.11
1996-06-21,3.11,0.0,2.95
1996-06-22,2.95,0.076,2.95
1996-06-23,2.95,0.0,2.87
1996-06-24,2.87,0.084,3.18
1996-06-25,3.18,3.926,3.26
1996-06-26,3.26,0.0,3.02
1996-06-27,3.02,0.0,2.87
1996-06-28,2.87,0.0,2.8
1996-06-29,2.8,0.0,2.8
1996-06-30,2.8,5.782,3.19
1996-07-01,3.19,0.0,2.88
1996-07-02,2.88,0.0,2.73
1996-07-03,2.73,0.205,2.73
1996-07-04,2.73,0.0,2.65
1996-07-05,2.65,0.0,2.65
1996-07-06,2.65,6.333,2.72
1996-07-07,2.72,3.143,2.51
1996-07-08,2.51,0.0,2.45
1996-07-09,2.45,0.0,2.38
1996-07-10,2.38,0.0,2.32
1996-07-11,2.32,0.0,2.25
1996-07-12,2.25,0.0,2.38
1996-07-13,2.38,0.0,2.38
1996-07-14,2.38,0.0,2.45
1996-07-15,2.45,0.0,2.45
1996-07-16,2.45,0.0,2.51
1996-07-17,2.51,0.0,2.51
1996-07-18,2.51,0.0,2.45
1996-07-19,2.45,0.0,2.45
1996-07-20,2.45,0.0,2.38
1996-07-21,2.38,0.0,2.32
1996-07-22,2.32,0.0,2.32
1996-07-23,2.32,0.0,2.25
1996-07-24,2.25,0.0,2.25
1996-07-25,2.25,15.96,2.93
1996-07-26,2.93,10.086,3.24
1996-07-27,3.24,0.0,2.32
1996-07-28,2.32,0.0,2.06
1996-07-29,2.06,28.088,11.5
1996-07-30,11.5,0.16,4.8
1996-07-31,4.8,0.0,3.05
1996-08-01,3.05,0.0,2.65
1996-08-02,2.65,0.0,2.51
1996-08-03,2.51,0.0,2.25
1996-08-04,2.25,0.0,2.19
1996-08-05,2.19,0.0,2.32
1996-08-06,2.32,0.0,2.25
1996-08-07,2.25,0.0,2.25
1996-08-08,2.25,0.0,2.25
1996-08-09,2.25,3.297,2.45
1996-08-10,2.45,0.777,2.45
1996-08-11,2.45,1.115,2.51
1996-08-12,2.51,0.38,2.45
1996-08-13,2.45,0.0,2.45
1996-08-14,2.45,5.586,2.84
1996-08-15,2.84,1.826,2.74
1996-08-16,2.74,1.432,2.42
1996-08-17,2.42,0.0,2.25
1996-08-18,2.25,0.0,2.12
1996-08-19,2.12,0.0,2.06
1996-08-20,2.06,0.0,2.06
1996-08-21,2.06,0.0,2.06
1996-08-22,2.06,0.084,2.06
1996-08-23,2.06,0.0,1.99
1996-08-24,1.99,0.0,1.93
1996-08-25,1.93,0.0,1.99
1996-08-26,1.99,0.0,2.06
1996-08-27,2.06,0.063,2.06
1996-08-28,2.06,7.542,3.09
1996-08-29,3.09,21.772,4.71
1996-08-30,4.71,1.347,3.18
1996-08-31,3.18,0.606,2.88
1996-09-01,2.88,1.665,2.77
1996-09-02,2.77,2.872,3.03
1996-09-03,3.03,0.042,2.88
1996-09-04,2.88,2.152,2.51
1996-09-05,2.51,0.0,2.38
1996-09-06,2.38,0.0,2.25
1996-09-07,2.25,0.0,2.12
1996-09-08,2.12,0.205,1.99
1996-09-09,1.99,0.0,1.8
1996-09-10,1.8,0.252,1.8
1996-09-11,1.8,0.0,1.93
1996-09-12,1.93,3.506,1.99
1996-09-13,1.99,7.838,2.6
1996-09-14,2.6,0.302,2.38
1996-09-15,2.38,0.0,2.25
1996-09-16,2.25,0.651,2.32
1996-09-17,2.32,0.205,2.32
1996-09-18,2.32,4.686,3.01
1996-09-19,3.01,6.545,6.32
